normInfX : 2.1484534010077665
normInfY : 2.265588965154689

 0.35236718297218306 0.8334140454581329 0.9626721725774504
 0.5359216640982378 0.604911004301464 0.44443833428478663
 0.7183252905004087 0.261383561437443 0.8584784582924524Nmax : 0maj : Infinitydiff : Infinitysubmax : {0=[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0]]}
Nmax : 1maj : 1.0752627478491976diff : 0.538419026122098submax : {0=[[0.0, 0.5], [0.0, 0.5], [0.0, 0.5]]}
Nmax : 2maj : 1.0740317249038016diff : 0.5369281997205149submax : {0=[[0.25, 0.5], [0.0, 0.25], [0.25, 0.5]]}
Nmax : 3maj : 0.9845608647164038diff : 0.44745733953311706submax : {0=[[0.25, 0.5], [0.0, 0.25], [0.25, 0.5]]}
Nmax : 4maj : 0.9574004824168457diff : 0.4211276491768928submax : {0=[[0.25, 0.5], [0.0, 0.25], [0.25, 0.5]]}
Nmax : 5maj : 0.8056602003092576diff : 0.26938736706930466submax : {0=[[0.25, 0.5], [0.0, 0.25], [0.25, 0.5]]}
Nmax : 6maj : 0.8054003968530704diff : 0.269209513061049submax : {0=[[0.25, 0.5], [0.25, 0.5], [0.25, 0.5]]}
Nmax : 7maj : 0.8051405933968834diff : 0.2690316590527938submax : {0=[[0.0, 0.25], [0.25, 0.5], [0.0, 0.25]]}
Nmax : 8maj : 0.8048807899406961diff : 0.26885380504453815submax : {0=[[0.0, 0.25], [0.5, 0.75], [0.0, 0.25]]}
Nmax : 9maj : 0.791589670172703diff : 0.23906048571936844submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.125, 0.25]]}
Nmax : 10maj : 0.779960628722593diff : 0.22743144426925843submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.125, 0.25]]}
Nmax : 11maj : 0.7713832236419378diff : 0.21885403918860324submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.125, 0.25]]}
Nmax : 12maj : 0.7628058185612827diff : 0.2103488727673578submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.125, 0.25]]}
Nmax : 13maj : 0.7609620966779388diff : 0.2085051508840139submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.125, 0.25]]}
Nmax : 14maj : 0.7607022932217518diff : 0.20824534742782685submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.125, 0.25]]}
Nmax : 15maj : 0.7604424897655646diff : 0.2079855439716397submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.125, 0.25]]}
Nmax : 16maj : 0.7601826863093777diff : 0.20772574051545278submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.125, 0.25]]}
Nmax : 17maj : 0.7517363824781365diff : 0.19927943668421155submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.125, 0.25]]}
Nmax : 18maj : 0.716004189590433diff : 0.1635472437965081submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.125, 0.25]]}
Nmax : 19maj : 0.7141747901175519diff : 0.161717844323627submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.125, 0.25]]}
Nmax : 20maj : 0.6947699017790041diff : 0.1423129559850792submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.125, 0.25]]}
Nmax : 21maj : 0.6868075220163199diff : 0.134350576222395submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.125, 0.25]]}
Nmax : 22maj : 0.6856885158342036diff : 0.1312045522955425submax : {0=[[0.0, 0.0625], [0.6875, 0.75], [0.125, 0.1875]]}
