Nmax : 0maj : 100000.0diff : 99999.65337764454 min : -100000.0submax : {0=[[0.0, 1.0], [0.0, 1.0]]}
Nmax : 1maj : 0.7812125227879763diff : 0.25 min : 0.5312125227879763submax : {0=[[0.5, 1.0], [0.0, 0.5]]}
Nmax : 2maj : 0.6884281237581578diff : 0.125 min : 0.5634281237581578submax : {0=[[0.75, 1.0], [0.0, 0.25]]}
Nmax : 3maj : 0.6169379188088525diff : 0.0625 min : 0.5544379188088525submax : {0=[[0.875, 1.0], [0.0, 0.125]]}
Nmax : 4maj : 0.6163327793927618diff : 0.054475635694056 min : 0.5618571436987058submax : {0=[[0.875, 0.9375], [0.0625, 0.125]]}
Nmax : 5maj : 0.5931071436987058diff : 0.03125 min : 0.5618571436987058submax : {0=[[0.875, 0.9375], [0.0625, 0.125]]}
Nmax : 6maj : 0.5917429566124703diff : 0.028471839205309712 min : 0.5632711174071606submax : {0=[[0.875, 0.90625], [0.09375, 0.125]]}
Nmax : 7maj : 0.580828476906196diff : 0.017557359499035363 min : 0.5632711174071606submax : {0=[[0.875, 0.90625], [0.09375, 0.125]]}
Nmax : 8maj : 0.5788961174071606diff : 0.015625 min : 0.5632711174071606submax : {0=[[0.875, 0.90625], [0.09375, 0.125]]}
Nmax : 9maj : 0.5780914921048241diff : 0.014594282048692397 min : 0.5634972100561317submax : {0=[[0.875, 0.890625], [0.109375, 0.125]]}
Nmax : 10maj : 0.5752051333992114diff : 0.011707923343079685 min : 0.5634972100561317submax : {0=[[0.875, 0.890625], [0.109375, 0.125]]}
Nmax : 11maj : 0.5746252855492884diff : 0.011128075493156642 min : 0.5634972100561317submax : {0=[[0.875, 0.890625], [0.109375, 0.125]]}
Nmax : 12maj : 0.5732171796042271diff : 0.009719969548095397 min : 0.5634972100561317submax : {0=[[0.875, 0.890625], [0.109375, 0.125]]}
Nmax : 13maj : 0.5713097100561317diff : 0.0078125 min : 0.5634972100561317submax : {0=[[0.875, 0.890625], [0.109375, 0.125]]}
Nmax : 14maj : 0.5708923599450345diff : 0.0073938452640096575 min : 0.5634985146810249submax : {0=[[0.875, 0.8828125], [0.1171875, 0.125]]}
Nmax : 15maj : 0.5705440033651068diff : 0.007045488684081946 min : 0.5634985146810249submax : {0=[[0.875, 0.8828125], [0.1171875, 0.125]]}
Nmax : 16maj : 0.5695720118458353diff : 0.006073497164810426 min : 0.5634985146810249submax : {0=[[0.875, 0.8828125], [0.1171875, 0.125]]}
Nmax : 17maj : 0.5694129867522297diff : 0.005914472071204879 min : 0.5634985146810249submax : {0=[[0.875, 0.8828125], [0.1171875, 0.125]]}
Nmax : 18maj : 0.5684357104022082diff : 0.004937195721183341 min : 0.5634985146810249submax : {0=[[0.875, 0.8828125], [0.1171875, 0.125]]}
Nmax : 19maj : 0.5674047646810249diff : 0.00390625 min : 0.5634985146810249submax : {0=[[0.875, 0.8828125], [0.1171875, 0.125]]}
Nmax : 20maj : 0.5673283970286649diff : 0.0038214470264466005 min : 0.5635069500022183submax : {0=[[0.87890625, 0.8828125], [0.1171875, 0.12109375]]}
Nmax : 21maj : 0.5671942184040522diff : 0.0036872684018338653 min : 0.5635069500022183submax : {0=[[0.87890625, 0.8828125], [0.1171875, 0.12109375]]}
Nmax : 22maj : 0.5669663630126963diff : 0.0034594130104780296 min : 0.5635069500022183submax : {0=[[0.87890625, 0.8828125], [0.1171875, 0.12109375]]}
Nmax : 23maj : 0.5669480021198604diff : 0.0034410521176421183 min : 0.5635069500022183submax : {0=[[0.87890625, 0.8828125], [0.1171875, 0.12109375]]}
Nmax : 24maj : 0.5667117504579657diff : 0.0032048004557474474 min : 0.5635069500022183submax : {0=[[0.87890625, 0.8828125], [0.1171875, 0.12109375]]}
Nmax : 25maj : 0.5662438740117397diff : 0.002736924009521413 min : 0.5635069500022183submax : {0=[[0.87890625, 0.8828125], [0.1171875, 0.12109375]]}
Nmax : 26maj : 0.5659705954287844diff : 0.0024636454265660745 min : 0.5635069500022183submax : {0=[[0.87890625, 0.8828125], [0.1171875, 0.12109375]]}
Nmax : 27maj : 0.5654600750022183diff : 0.001953125 min : 0.5635069500022183submax : {0=[[0.87890625, 0.8828125], [0.1171875, 0.12109375]]}
Nmax : 28maj : 0.5654252825280948diff : 0.0019202943151331864 min : 0.5635049882129616submax : {0=[[0.87890625, 0.880859375], [0.119140625, 0.12109375]]}
Nmax : 29maj : 0.5654221577765072diff : 0.0019171695635455954 min : 0.5635049882129616submax : {0=[[0.87890625, 0.880859375], [0.119140625, 0.12109375]]}
Nmax : 30maj : 0.5653197757493968diff : 0.0018147875364352695 min : 0.5635049882129616submax : {0=[[0.87890625, 0.880859375], [0.119140625, 0.12109375]]}
Nmax : 31maj : 0.565309397141589diff : 0.0018044089286274323 min : 0.5635049882129616submax : {0=[[0.87890625, 0.880859375], [0.119140625, 0.12109375]]}
Nmax : 32maj : 0.5651930909451467diff : 0.001688102732185115 min : 0.5635049882129616submax : {0=[[0.87890625, 0.880859375], [0.119140625, 0.12109375]]}
Nmax : 33maj : 0.5651454244871569diff : 0.0016404362741953005 min : 0.5635049882129616submax : {0=[[0.87890625, 0.880859375], [0.119140625, 0.12109375]]}
Nmax : 34maj : 0.5651195065435989diff : 0.0016145183306373045 min : 0.5635049882129616submax : {0=[[0.87890625, 0.880859375], [0.119140625, 0.12109375]]}
Nmax : 35maj : 0.5649825147949372diff : 0.0014775265819756411 min : 0.5635049882129616submax : {0=[[0.87890625, 0.880859375], [0.119140625, 0.12109375]]}
Nmax : 36maj : 0.5649039842050493diff : 0.0013989959920877038 min : 0.5635049882129616submax : {0=[[0.87890625, 0.880859375], [0.119140625, 0.12109375]]}
Nmax : 37maj : 0.5648963322468848diff : 0.0013913440339232697 min : 0.5635049882129616submax : {0=[[0.87890625, 0.880859375], [0.119140625, 0.12109375]]}
