normInfX : 1.352259102332583
normInfY : 1.8175380415655664

 0.9084825751359866 0.3566792795969468 0.08709724759964965
 0.5389094958106317 0.31032813820210303 0.40033120725558347
 0.37014597061894794 0.5279369481081909 0.3233355161448661Nmax : 0maj : Infinitydiff : Infinitysubmax : {0=[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0]]}
Nmax : 1maj : 0.6760255551484146diff : 0.33806477558314574submax : {0=[[0.0, 0.5], [0.5, 1.0], [0.0, 0.5]]}
Nmax : 2maj : 0.63858415056668diff : 0.28790586351221714submax : {0=[[0.0, 0.25], [0.5, 0.75], [0.25, 0.5]]}
Nmax : 3maj : 0.613149135588292diff : 0.26352841860405224submax : {0=[[0.0, 0.25], [0.5, 0.75], [0.25, 0.5]]}
Nmax : 4maj : 0.5248377010497813diff : 0.1752169840655416submax : {0=[[0.0, 0.25], [0.5, 0.75], [0.25, 0.5]]}
Nmax : 5maj : 0.5197106748460358diff : 0.17088313541446348submax : {0=[[0.0, 0.25], [0.5, 0.75], [0.25, 0.5]]}
Nmax : 6maj : 0.5069931673568417diff : 0.14197361712981477submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.25, 0.375]]}
Nmax : 7maj : 0.5040530854082581diff : 0.13903353518123113submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.25, 0.375]]}
Nmax : 8maj : 0.5009899725551685diff : 0.13597042232814155submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.25, 0.375]]}
Nmax : 9maj : 0.4866744311038382diff : 0.1216548808768112submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.25, 0.375]]}
Nmax : 10maj : 0.4822692702643013diff : 0.1172497200372743submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.25, 0.375]]}
Nmax : 11maj : 0.473680569966137diff : 0.10866101973911002submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.25, 0.375]]}
Nmax : 12maj : 0.4695517627751072diff : 0.1045322125480802submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.25, 0.375]]}
Nmax : 13maj : 0.4628374500875864diff : 0.09781789986055944submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.25, 0.375]]}
Nmax : 14maj : 0.4546957574318637diff : 0.08967620720483671submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.25, 0.375]]}
Nmax : 15maj : 0.4495357441228134diff : 0.0845161938957864submax : {0=[[0.0, 0.125], [0.625, 0.75], [0.25, 0.375]]}
Nmax : 16maj : 0.4429351809357728diff : 0.07131613674758702submax : {0=[[0.0, 0.0625], [0.6875, 0.75], [0.25, 0.3125]]}
Nmax : 17maj : 0.4417018962941625diff : 0.07008285210597676submax : {0=[[0.0, 0.0625], [0.6875, 0.75], [0.25, 0.3125]]}
Nmax : 18maj : 0.4399442965143995diff : 0.06832525232621373submax : {0=[[0.0, 0.0625], [0.6875, 0.75], [0.25, 0.3125]]}
Nmax : 19maj : 0.43516431834361535diff : 0.0635452741554296submax : {0=[[0.0, 0.0625], [0.6875, 0.75], [0.25, 0.3125]]}
Nmax : 20maj : 0.43334373332735876diff : 0.061724689139173006submax : {0=[[0.0, 0.0625], [0.6875, 0.75], [0.25, 0.3125]]}
Nmax : 21maj : 0.4303528489059856diff : 0.05873380471779982submax : {0=[[0.0, 0.0625], [0.6875, 0.75], [0.25, 0.3125]]}
Nmax : 22maj : 0.4302238773308982diff : 0.05860483314271242submax : {0=[[0.0, 0.0625], [0.6875, 0.75], [0.25, 0.3125]]}
Nmax : 23maj : 0.42870803515646144diff : 0.05778375989700468submax : {0=[[0.0, 0.0625], [0.6875, 0.75], [0.25, 0.3125]]}
Nmax : 24maj : 0.42674317014031804diff : 0.05581889488086128submax : {0=[[0.0, 0.0625], [0.6875, 0.75], [0.25, 0.3125]]}
Nmax : 25maj : 0.42375228571894485diff : 0.052828010459488095submax : {0=[[0.0, 0.0625], [0.6875, 0.75], [0.25, 0.3125]]}
Nmax : 26maj : 0.42271708375988926diff : 0.0517928085004325submax : {0=[[0.0, 0.0625], [0.6875, 0.75], [0.25, 0.3125]]}
maximum value of the function f : 0.37161904418818575 found for xmax = {0=[[0.0, 0.0625], [0.6875, 0.75], [0.25, 0.3125]]} and the corresponding probability is {0=[0.020833333333333332, 0.7083333333333334, 0.2708333333333333]}and the real maximum of the function f is :0.37092427525945676
time doo dooHeuristic : 0





 ############################ 





lambda : 4.056777306997748
Nmax : 0maj : Infinitydiff : Infinitysubmax : {0=[[0.0, 1.0], [0.0, 1.0]]}
Nmax : 1maj : 2.390222015199099diff : 2.028388653498874submax : {0=[[0.0, 0.5], [0.5, 1.0]]}
Nmax : 2maj : 2.3517241696437403diff : 1.9868660794041835submax : {0=[[0.0, 0.25], [0.75, 1.0]]}
Nmax : 3maj : 2.233605035371132diff : 1.8687469451315752submax : {0=[[0.0, 0.25], [0.75, 1.0]]}
Nmax : 4maj : 1.379052416988994diff : 1.014194326749437submax : {0=[[0.0, 0.25], [0.75, 1.0]]}
Nmax : 5maj : 1.3760276884496618diff : 1.011233472990571submax : {0=[[0.0, 0.125], [0.75, 0.875]]}
Nmax : 6maj : 1.3567787656719825diff : 0.9853209425829181submax : {0=[[0.0, 0.125], [0.625, 0.75]]}
Nmax : 7maj : 1.3375298428943032diff : 0.9660720198052388submax : {0=[[0.0, 0.125], [0.625, 0.75]]}
Nmax : 8maj : 1.3169681213133577diff : 0.9455102982242933submax : {0=[[0.0, 0.125], [0.625, 0.75]]}
Nmax : 9maj : 1.2977191985356784diff : 0.926261375446614submax : {0=[[0.0, 0.125], [0.625, 0.75]]}
Nmax : 10maj : 1.278470275757999diff : 0.9070124526689347submax : {0=[[0.0, 0.125], [0.625, 0.75]]}
Nmax : 11maj : 1.2386596313993743diff : 0.8672018083103099submax : {0=[[0.0, 0.125], [0.625, 0.75]]}
Nmax : 12maj : 1.219410708621695diff : 0.8479528855326306submax : {0=[[0.0, 0.125], [0.625, 0.75]]}
Nmax : 13maj : 1.1603511414853909diff : 0.7888933183963265submax : {0=[[0.0, 0.125], [0.625, 0.75]]}
Nmax : 14maj : 0.8785549864637829diff : 0.5070971633747186submax : {0=[[0.0, 0.125], [0.625, 0.75]]}
Nmax : 15maj : 0.8719552536142754diff : 0.49568519983079107submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 16maj : 0.8689305250749433diff : 0.49266047129145896submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 17maj : 0.8593060636861036diff : 0.4830360099026193submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 18maj : 0.8504524414612936diff : 0.4741823876778093submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 19maj : 0.849681602297264diff : 0.47341154851377965submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 20maj : 0.8490252028956309diff : 0.47275514911214656submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 21maj : 0.8448341274495607diff : 0.46856407366607633submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 22maj : 0.8400571409084243diff : 0.46378708712494submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 23maj : 0.8394007415067912diff : 0.4631306877233069submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 24maj : 0.8304326795195847diff : 0.45416262573610033submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 25maj : 0.8297762801179516diff : 0.45350622633446724submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 26maj : 0.8201518187291119diff : 0.4438817649456276submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 27maj : 0.8194954193274788diff : 0.4432253655439945submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 28maj : 0.8105273573402723diff : 0.43425730355678793submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 29maj : 0.8098709579386392diff : 0.43360090415515484submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 30maj : 0.8009028959514326diff : 0.4246328421679483submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 31maj : 0.8002464965497995diff : 0.4239764427663152submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 32maj : 0.7906220351609599diff : 0.41435198137747553submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 33maj : 0.7809975737721202diff : 0.4047275199886359submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 34maj : 0.7803411743704871diff : 0.4040711205870028submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 35maj : 0.7713731123832805diff : 0.3951030585997962submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
Nmax : 36maj : 0.7707167129816475diff : 0.39444665919816313submax : {0=[[0.0, 0.0625], [0.6875, 0.75]]}
