Nmax : 0 100000.0diff : 100001.9990234375 min : -100000.0submax : {0=[[-1.0, 1.0]]}
Nmax : 1 -1.2509765625diff : 0.5 min : -1.7509765625submax : {0=[[0.0, 1.0]]}
Nmax : 2 -1.5634765625diff : 0.25 min : -1.8134765625submax : {0=[[0.0, 0.5]]}
Nmax : 3 -1.5634765625diff : 0.203125 min : -1.7666015625submax : {0=[[0.25, 0.5]]}
Nmax : 4 -1.6416015625diff : 0.125 min : -1.7666015625submax : {0=[[0.25, 0.5]]}
Nmax : 5 -1.6416015625diff : 0.11328125 min : -1.7548828125submax : {0=[[0.375, 0.5]]}
Nmax : 6 -1.6923828125diff : 0.0625 min : -1.7548828125submax : {0=[[0.5, 0.625]]}
Nmax : 7 -1.6923828125diff : 0.0595703125 min : -1.751953125submax : {0=[[0.5, 0.5625]]}
Nmax : 8 -1.720703125diff : 0.03125 min : -1.751953125submax : {0=[[0.5, 0.5625]]}
Nmax : 9 -1.720703125diff : 0.030517578125 min : -1.751220703125submax : {0=[[0.5, 0.53125]]}
Nmax : 10 -1.7236328125diff : 0.027587890625 min : -1.751220703125submax : {0=[[0.5, 0.53125]]}
Nmax : 11 -1.7236328125diff : 0.027587890625 min : -1.751220703125submax : {0=[[0.5, 0.53125]]}
Nmax : 12 -1.728515625diff : 0.022705078125 min : -1.751220703125submax : {0=[[0.5, 0.53125]]}
Nmax : 13 -1.728515625diff : 0.022705078125 min : -1.751220703125submax : {0=[[0.5, 0.53125]]}
Nmax : 14 -1.735595703125diff : 0.015625 min : -1.751220703125submax : {0=[[0.5, 0.53125]]}
Nmax : 15 -1.735595703125diff : 0.01544189453125 min : -1.75103759765625submax : {0=[[0.5, 0.515625]]}
Nmax : 16 -1.737548828125diff : 0.01348876953125 min : -1.75103759765625submax : {0=[[0.5, 0.515625]]}
Nmax : 17 -1.737548828125diff : 0.01348876953125 min : -1.75103759765625submax : {0=[[0.5, 0.515625]]}
Nmax : 18 -1.741455078125diff : 0.00958251953125 min : -1.75103759765625submax : {0=[[0.5, 0.515625]]}
Nmax : 19 -1.741455078125diff : 0.00958251953125 min : -1.75103759765625submax : {0=[[0.5, 0.515625]]}
Nmax : 20 -1.74322509765625diff : 0.0078125 min : -1.75103759765625submax : {0=[[0.5, 0.515625]]}
Nmax : 21 -1.74322509765625diff : 0.0077667236328125 min : -1.7509918212890625submax : {0=[[0.5, 0.5078125]]}
Nmax : 22 -1.74371337890625diff : 0.0072784423828125 min : -1.7509918212890625submax : {0=[[0.5, 0.5078125]]}
Nmax : 23 -1.74371337890625diff : 0.0072784423828125 min : -1.7509918212890625submax : {0=[[0.5, 0.5078125]]}
Nmax : 24 -1.744140625diff : 0.0068511962890625 min : -1.7509918212890625submax : {0=[[0.4921875, 0.5]]}
Nmax : 25 -1.744140625diff : 0.0068511962890625 min : -1.7509918212890625submax : {0=[[0.4921875, 0.5]]}
Nmax : 26 -1.74468994140625diff : 0.0063018798828125 min : -1.7509918212890625submax : {0=[[0.4921875, 0.5]]}
Nmax : 27 -1.74468994140625diff : 0.0063018798828125 min : -1.7509918212890625submax : {0=[[0.4921875, 0.5]]}
Nmax : 28 -1.74615478515625diff : 0.0048370361328125 min : -1.7509918212890625submax : {0=[[0.4921875, 0.5]]}
Nmax : 29 -1.74615478515625diff : 0.0048370361328125 min : -1.7509918212890625submax : {0=[[0.4921875, 0.5]]}
Nmax : 30 -1.7470855712890625diff : 0.00390625 min : -1.7509918212890625submax : {0=[[0.4921875, 0.5]]}
Nmax : 31 -1.7470855712890625diff : 0.003894805908203125 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 32 -1.7472076416015625diff : 0.003772735595703125 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 33 -1.7472076416015625diff : 0.003772735595703125 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 34 -1.747314453125diff : 0.003665924072265625 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 35 -1.747314453125diff : 0.003665924072265625 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 36 -1.7474517822265625diff : 0.003528594970703125 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 37 -1.7474517822265625diff : 0.003528594970703125 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 38 -1.7478179931640625diff : 0.003162384033203125 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 39 -1.7478179931640625diff : 0.003162384033203125 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 40 -1.74810791015625diff : 0.002872467041015625 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 41 -1.74810791015625diff : 0.002872467041015625 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 42 -1.7483062744140625diff : 0.002674102783203125 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 43 -1.7483062744140625diff : 0.002674102783203125 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 44 -1.7489166259765625diff : 0.002063751220703125 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 45 -1.7489166259765625diff : 0.002063751220703125 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 46 -1.7490234375diff : 0.001956939697265625 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
Nmax : 47 -1.7490272521972656diff : 0.001953125 min : -1.7509803771972656submax : {0=[[0.49609375, 0.5]]}
NmaxEnd : 48 -1.7490243911743164min : -1.7500009536743164diff : 9.765625E-4xmax : {0=[0.0]}
NmaxEndValues : 48 maximum value of the function f : -1.7500009536743164 found for xmax = {0=[[0.498046875, 0.5]]} and the corresponding probability is {0=[0.4990234375]}and the real maximum of the function f is :-1.7500009536743164
